代码,日期,EMA12,EMA26,EMA差值12-26,EMA差值12-26(%),EMA排列,排列评分
159869,2024-06-03,0.877481,0.899101,-0.02162,-2.4046,强势空头排列,-1.33
159869,2024-05-31,0.881932,0.902789,-0.020857,-2.3103,强势空头排列,-1.1
159869,2024-05-30,0.884465,0.905572,-0.021107,-2.3308,强势空头排列,-1.33
159869,2024-05-29,0.889822,0.909618,-0.019796,-2.1763,强势空头排列,-1.33
159869,2024-05-28,0.894517,0.913267,-0.01875,-2.0531,强势空头排列,-1.33
159869,2024-05-27,0.901338,0.917768,-0.01643,-1.7902,强势空头排列,-1.33
159869,2024-05-24,0.905581,0.92095,-0.015369,-1.6688,强势空头排列,-1.33
159869,2024-05-23,0.911505,0.924786,-0.013281,-1.4361,强势空头排列,-1.33
159869,2024-05-22,0.916506,0.928049,-0.011543,-1.2438,中等空头排列,-0.7
159869,2024-05-21,0.918598,0.929893,-0.011295,-1.2147,中等空头排列,-0.7
159869,2024-05-20,0.920343,0.931564,-0.011221,-1.2045,中等空头排列,-0.7
159869,2024-05-17,0.922587,0.933449,-0.010862,-1.1636,中等空头排列,-0.7
159869,2024-05-16,0.924694,0.935245,-0.010551,-1.1282,中等空头排列,-0.7
159869,2024-05-15,0.927002,0.937105,-0.010103,-1.0781,中等空头排列,-0.7
159869,2024-05-14,0.929002,0.938793,-0.009791,-1.0429,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-05-13,0.928639,0.939417,-0.010778,-1.1473,强势空头排列,-1.21
159869,2024-05-10,0.932209,0.94185,-0.009641,-1.0236,中等空头排列,-0.7
159869,2024-05-09,0.933338,0.943118,-0.00978,-1.037,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-05-08,0.932854,0.943687,-0.010833,-1.1479,中等空头排列,-0.7
159869,2024-05-07,0.934828,0.945422,-0.010594,-1.1206,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-05-06,0.930615,0.944416,-0.013801,-1.4613,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-04-30,0.924908,0.943009,-0.018101,-1.9195,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-04-29,0.920164,0.94237,-0.022206,-2.3564,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-04-26,0.914012,0.94144,-0.027428,-2.9134,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-04-25,0.91256,0.942995,-0.030435,-3.2275,强势空头排列,-1.21
159869,2024-04-24,0.915208,0.946594,-0.031386,-3.3157,强势空头排列,-1.21
159869,2024-04-23,0.917063,0.949922,-0.032859,-3.4591,强势空头排列,-1.33
159869,2024-04-22,0.922893,0.955116,-0.032223,-3.3737,强势空头排列,-1.33
159869,2024-04-19,0.930874,0.961205,-0.030331,-3.1555,强势空头排列,-1.33
159869,2024-04-18,0.940305,0.967781,-0.027476,-2.8391,强势空头排列,-1.33
159869,2024-04-17,0.94727,0.973044,-0.025774,-2.6488,强势空头排列,-1.33
