代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列,排列评分
159766,20240703,0.639,0.635533,0.632309,0.639281,-0.003748,-0.5863,0.003467,震荡排列,0.0
159766,20240702,0.631167,0.630067,0.629727,0.639662,-0.009595,-1.5,0.0011,震荡排列,0.0
159766,20240701,0.629833,0.6292,0.630436,0.641695,-0.012495,-1.9472,0.000633,微弱空头排列,-0.05
159766,20240628,0.626667,0.626533,0.631073,0.64369,-0.017157,-2.6654,0.000134,强势空头排列,-1.0
159766,20240627,0.627333,0.6272,0.6338,0.646729,-0.019529,-3.0197,0.000133,强势空头排列,-1.0
159766,20240626,0.628,0.628933,0.637291,0.650186,-0.021253,-3.2688,-0.000933,强势空头排列,-1.0
159766,20240625,0.625833,0.6296,0.640109,0.653248,-0.023648,-3.6201,-0.003767,强势空头排列,-1.0
159766,20240624,0.629,0.635067,0.644927,0.65731,-0.022243,-3.3839,-0.006067,强势空头排列,-1.0
159766,20240621,0.6385,0.644067,0.651236,0.661995,-0.017928,-2.7082,-0.005567,强势空头排列,-1.0
159766,20240620,0.645333,0.650067,0.655582,0.665652,-0.015585,-2.3413,-0.004734,中等空头排列,-0.6
159766,20240619,0.656167,0.657467,0.660764,0.669724,-0.012257,-1.8302,-0.0013,中等空头排列,-0.6
159766,20240618,0.661167,0.6608,0.663891,0.67271,-0.01191,-1.7705,0.000367,中等空头排列,-0.6
